"año,costo sobre el salario registrado"
"2021,10.075"
"2022,10.075"
"2023,11.166"
"2024,12.256"
"2025,13.347"
"2026,14,438"
"2027,15.528"
"2028,16.619"
"2029,17.709"
"2030,18.000"
