message,attributes,tags,timestamp
Starting Container,"{""level"":""info""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""ac444697-3f89-431f-8360-11860a4a5b61"",""replica"":""6c14ed5c-e7fa-4849-8b7f-35c78ae2d29f""}",2025-12-02T03:34:44.000000000Z
Traceback (most recent call last):,"{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""ac444697-3f89-431f-8360-11860a4a5b61"",""replica"":""6c14ed5c-e7fa-4849-8b7f-35c78ae2d29f""}",2025-12-02T03:34:45.554376208Z
[2025-12-02 03:34:45 +0000] [2] [INFO] Booting worker with pid: 2,"{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""ac444697-3f89-431f-8360-11860a4a5b61"",""replica"":""6c14ed5c-e7fa-4849-8b7f-35c78ae2d29f""}",2025-12-02T03:34:45.554392198Z
[2025-12-02 03:34:45 +0000] [2] [ERROR] Exception in worker process,"{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""ac444697-3f89-431f-8360-11860a4a5b61"",""replica"":""6c14ed5c-e7fa-4849-8b7f-35c78ae2d29f""}",2025-12-02T03:34:45.554399274Z
[2025-12-02 03:34:45 +0000] [1] [INFO] Starting gunicorn 21.2.0,"{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""ac444697-3f89-431f-8360-11860a4a5b61"",""replica"":""6c14ed5c-e7fa-4849-8b7f-35c78ae2d29f""}",2025-12-02T03:34:45.554407694Z
[2025-12-02 03:34:45 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1),"{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""ac444697-3f89-431f-8360-11860a4a5b61"",""replica"":""6c14ed5c-e7fa-4849-8b7f-35c78ae2d29f""}",2025-12-02T03:34:45.554418690Z
[2025-12-02 03:34:45 +0000] [1] [INFO] Using worker: sync,"{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""ac444697-3f89-431f-8360-11860a4a5b61"",""replica"":""6c14ed5c-e7fa-4849-8b7f-35c78ae2d29f""}",2025-12-02T03:34:45.554427077Z
"  File ""/app/.venv/lib/python3.12/site-packages/gunicorn/arbiter.py"", line 609, in spawn_worker","{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""ac444697-3f89-431f-8360-11860a4a5b61"",""replica"":""6c14ed5c-e7fa-4849-8b7f-35c78ae2d29f""}",2025-12-02T03:34:45.554515371Z
    worker.init_process(),"{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""ac444697-3f89-431f-8360-11860a4a5b61"",""replica"":""6c14ed5c-e7fa-4849-8b7f-35c78ae2d29f""}",2025-12-02T03:34:45.554523159Z
"  File ""/app/.venv/lib/python3.12/site-packages/gunicorn/workers/base.py"", line 134, in init_process","{""level"":""error""}","{""project"":""fb138905-cd95-41b4-b57a-a251e4569971"",""environment"":""f8f8dcfc-c23c-4218-bd85-dc04963dbdfa"",""service"":""37e881aa-084b-4c82-b1cc-cc6ead12c814"",""deployment"":""ac444697-3f89-431f-8360-11860a4a5b61"",""replica"":""6c14ed5c-e7fa-4849-8b7f-35c78ae2d29f""}",2025-12-02T03:34:45.554528415Z
